fecha,cod,prov,lng,lat,paro
2021-3,07,Castilla León,-4.397,41.835,170993
2021-2,24,León,-5.841,42.62,34673
2021-2,37,Salamanca,-6.066,40.805,26670
2021-2,47,Valladolid,-4.847,41.634,37761
2021-2,42,Soria,-2.589,41.621,4818
2021-2,49,Zamora,-5.979,41.727,13614
2021-2,05,Ávila,-4.946,40.571,13466
2021-2,09,Burgos,-3.586,42.367,23698
2021-2,34,Palencia,-4.535,42.37,10873
2021-2,40,Segovia,-4.055,41.171,9179
2021-2,07,Castilla León,-4.397,41.835,174752
2021-1,40,Segovia,-4.055,41.171,8991
2021-1,47,Valladolid,-4.847,41.634,37132
2021-1,24,León,-5.841,42.62,34648
2021-1,34,Palencia,-4.535,42.37,10847
2021-1,07,Castilla León,-4.397,41.835,173903
2021-1,05,Ávila,-4.946,40.571,13413
2021-1,09,Burgos,-3.586,42.367,23973
2021-1,37,Salamanca,-6.066,40.805,26649
2021-1,42,Soria,-2.589,41.621,4715
2021-1,49,Zamora,-5.979,41.727,13535
2020-12,09,Burgos,-3.586,42.367,22782
2020-12,37,Salamanca,-6.066,40.805,26014
2020-12,40,Segovia,-4.055,41.171,8830
2020-12,42,Soria,-2.589,41.621,4540
2020-12,07,Castilla León,-4.397,41.835,168706
2020-12,05,Ávila,-4.946,40.571,13101
2020-12,24,León,-5.841,42.62,33646
2020-12,34,Palencia,-4.535,42.37,10708
2020-12,47,Valladolid,-4.847,41.634,36002
2020-12,49,Zamora,-5.979,41.727,13083
2020-11,05,Ávila,-4.946,40.571,12715
2020-11,34,Palencia,-4.535,42.37,10043
2020-11,49,Zamora,-5.979,41.727,12539
2020-11,24,León,-5.841,42.62,33188
2020-11,37,Salamanca,-6.066,40.805,25654
2020-11,47,Valladolid,-4.847,41.634,34733
2020-11,09,Burgos,-3.586,42.367,21972
2020-11,40,Segovia,-4.055,41.171,8501
2020-11,42,Soria,-2.589,41.621,4342
2020-11,07,Castilla León,-4.397,41.835,163687
2020-10,24,León,-5.841,42.62,31914
2020-10,47,Valladolid,-4.847,41.634,34027
2020-10,34,Palencia,-4.535,42.37,9930
2020-10,37,Salamanca,-6.066,40.805,24926
2020-10,40,Segovia,-4.055,41.171,8053
2020-10,42,Soria,-2.589,41.621,4025
2020-10,49,Zamora,-5.979,41.727,12302
2020-10,05,Ávila,-4.946,40.571,12161
2020-10,09,Burgos,-3.586,42.367,21246
2020-10,07,Castilla León,-4.397,41.835,158584
2020-9,24,León,-5.841,42.62,31080
2020-9,49,Zamora,-5.979,41.727,11691
2020-9,07,Castilla León,-4.397,41.835,153384
2020-9,05,Ávila,-4.946,40.571,11754
2020-9,09,Burgos,-3.586,42.367,20300
2020-9,34,Palencia,-4.535,42.37,9597
2020-9,37,Salamanca,-6.066,40.805,24578
2020-9,40,Segovia,-4.055,41.171,7590
2020-9,42,Soria,-2.589,41.621,3805
2020-9,47,Valladolid,-4.847,41.634,32989
2020-8,05,Ávila,-4.946,40.571,11540
2020-8,09,Burgos,-3.586,42.367,21085
2020-8,49,Zamora,-5.979,41.727,11791
2020-8,24,León,-5.841,42.62,30506
2020-8,34,Palencia,-4.535,42.37,9986
2020-8,37,Salamanca,-6.066,40.805,24799
2020-8,40,Segovia,-4.055,41.171,7805
2020-8,42,Soria,-2.589,41.621,3867
2020-8,47,Valladolid,-4.847,41.634,34371
2020-8,07,Castilla León,-4.397,41.835,155750
2020-7,24,León,-5.841,42.62,31223
2020-7,34,Palencia,-4.535,42.37,9692
2020-7,42,Soria,-2.589,41.621,3866
2020-7,47,Valladolid,-4.847,41.634,33745
2020-7,49,Zamora,-5.979,41.727,11834
2020-7,05,Ávila,-4.946,40.571,11506
2020-7,37,Salamanca,-6.066,40.805,24725
2020-7,09,Burgos,-3.586,42.367,21012
2020-7,40,Segovia,-4.055,41.171,7720
2020-7,07,Castilla León,-4.397,41.835,155323
2020-6,05,Ávila,-4.946,40.571,12486
2020-6,09,Burgos,-3.586,42.367,22417
2020-6,34,Palencia,-4.535,42.37,10606
2020-6,40,Segovia,-4.055,41.171,8266
2020-6,49,Zamora,-5.979,41.727,12708
2020-6,24,León,-5.841,42.62,33170
2020-6,37,Salamanca,-6.066,40.805,26053
2020-6,07,Castilla León,-4.397,41.835,165481
2020-6,42,Soria,-2.589,41.621,4445
